trial,layers,units,dropout,batch_size,lr,val_rmse,val_mae
1,1,64,0.1,32,0.001,2.858972688444204,2.282861742593849
2,1,64,0.0,32,0.0005,2.695935871466632,2.141745241145674
3,1,64,0.3,64,0.0005,2.509364099634677,2.030769284595931
4,1,128,0.0,64,0.0005,2.5273885915413272,2.0323010111265014
5,3,128,0.0,64,0.001,2.9981492454957137,2.391456086442742
6,3,32,0.0,32,0.0005,3.1162110977652793,2.4901567747108904
7,2,64,0.2,64,0.001,2.505108708896808,2.0322904113065414
8,3,64,0.1,64,0.0005,2.6035584751139496,2.088923705737379
9,1,96,0.3,64,0.001,2.511518985008178,2.035559129892022
10,2,64,0.3,64,0.0005,2.533110800464433,2.0429192497379605
11,3,128,0.3,64,0.001,2.758461061420271,2.1992551610648605
12,2,192,0.0,64,0.0005,2.5475763940722076,2.057556449937527
13,3,32,0.2,64,0.001,2.543798494766822,2.046999935748609
14,1,96,0.1,32,0.0005,2.7510420263218283,2.188943576539197
15,3,32,0.2,64,0.001,2.614170736814076,2.0857749396858845
16,1,128,0.0,32,0.001,2.7497416772871883,2.2181035830350746
17,2,192,0.3,32,0.001,2.5784917225367288,2.065570232954769
18,2,32,0.1,32,0.001,2.6791352444192085,2.1495528164279913
19,3,32,0.1,32,0.001,2.9996595190180626,2.3910852364508135
20,3,192,0.3,32,0.0005,2.8087799748878406,2.2423770786571775
